legislator,role,district,party,residence,gender,desk_number,profession,notes,session
"Noyer, P. S.",,6,D,Clackamas,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Partlow, J. M.",,52,I,Umatilla,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Plymale, WIlliam J.",,19,D,Jackson,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Reed, C. A.",,33,R,Marion,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Reed, J. M.",,7,D,Clackamas,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Riddle, G. W.",,14,I,Douglas,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Rinearson, J. S.",,11,I,Colombia,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Roe, T.",,50,I,Umatilla,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Ross, W. W.",,49,R,Union,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Shedd, Frank",,30,I,Linn,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Shelton, Harvey",,29,D,Linn,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Simpson, David",,34,R,Marion,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Stanard, A. W.",,32,D,Linn,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Stearns, D. W.",,17,I,Douglas,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Stott, R.",,42,I,Multnomah,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Stump, David",,46,I,Polk,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Van Riper, G. B.",,20,D,Jackson,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Wassom, Jonathan",,28,I,Linn,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Wilson, J. C.",,2,D,Baker,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Wright, Durham",,48,D,Union,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Wright, Thomas",,21,D,Jackson,Male,,,,"Session : 1874 Session - September 14-October 21, 1874 (57)"
"Allen, John C.",,,R,Polk,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Andrews, O. D.",,,D,Union,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Barin, L. T.",,,R,Clackamas,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Biles, J. D.",,,R,Multnomah,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Blakely, James",,,D,Linn,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Burbank, A. R.",,,R,Yamhill,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Bushey, D.",,,R,Douglas,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Caples, J. F.",,,R,Multnomah,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Clow, R.",,,D,Polk,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Collier, George H.",,,R,Washington,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Congle, J. B.",,,R,Multnomah,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Cooper, James T.",,,R,Douglas,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Corwin, Samuel",,,R,"Clatsop, Columbia, Tillamook",Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Craner, N. H.",,,D,Linn,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Crawford, J. D.",,,R,Clackamas,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Crooks, J. T.",,,D,Linn,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Curran, James",,,D,Uamtilla,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Darst, William",,,R,Marion,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Downing, John",,,R,Marion,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Engle, Joseph",,,R,Marion,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Gingles, James",,,R,Benton,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Grant, R.",,,D,Wasco,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Harrison, T. R.",,,R,Yamhill,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Hirsch, Sol",,,R,Multnomah,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Hodgkins, Thomas",,,D,Columbia,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Johnson, S. R.",,,R,Grant,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"LaDow, George A.",,,D,Umatilla,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Langell, Nathaniel",,,R,Jackson,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Mallory, Rufus",Speaker,,R,Marion,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Martin, N.",,,R,Lane,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Mason, Eli C.",,,D,Jackson,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Matlock, N. N.",,,R,Clackamas,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Onstein, J. B.",,,D,Baker,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Patton, T. M.",,,R,Marion,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Powers, A. S.",,,R,Lane,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Riddle, G. W.",,,R,Douglas,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Riley, M.",,,R,"Coos, Curry",Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Shelton, H.",,,D,Linn,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Simpson, Benjamin",,,D,Benton,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Stephenson, T. J.",,,D,Wasco,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Stott, Thomas A.",,,R,Washington,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Thornbury, C. N.",,,R,Grant,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Waldon, A. L.",,,D,Josephine,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Walker, E.",,,R,Jackson,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Washburn, C. W.",,,R,Lane,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"West, John",,,R,Clatsop,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"White, J. H.",,,R,Polk,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Willoughby, R. B.",,,D,Linn,Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Wright, Dunham",,,D,"Baker, Union",Male,,,,"Session : 1872 Session -  September 9-October 23, 1872 (49)"
"Alexander, W. F.",,,D,Linn,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Amis, L. F.",,,D,Lane,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Apperson, J. T.",,,R,Clackamas,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Burnett, A. J.",,,D,Jackson,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Caldwell, C. M.",,,D,Douglas,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Carson, J. C.",,,R,Multnomah,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Clark, W. H.",,,D,Grant,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Comegys, W.",,,D,Polk,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Davenport, T. W.",,,R,Marion,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Dorris, George B.",,,D,"Eugene, Lane",Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Drain, J. C.",,,D,Douglas,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Dunbar, W. R.",,,R,Marion,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Dunn, W. J.",,,R,Benton,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"DuShiel, F. A.",,,D,Umatilla,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Earhart, R. P.",,,R,Marion,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Elkins, W. S.",,,D,Linn,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Fulton, J.",,,D,Wasco,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Grant, R. J.",,,D,Polk,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Hare, W. D.",,,R,Washington,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Harrison, J. M.",,,R,Marion,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Hayden, B.",Speaker,,D,Polk,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Helm, George R.",,,D,Linn,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Holman, George P.",,,R,Marion,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
Hunter J. T.,,,D,Union,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Hussey, A.",,,R,Yamhill,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Hutchinson, Joseph C.",,,D,Douglas,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Kelly, W. J.",,,R,Benton,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Lockhart, F. G.",,,D,"Coos, Curry",Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Loughlin, L.",,,R,Yamhill,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"McCoy, J. M.",,,D,Grant,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"McLain, J. R.",,,D,"Baker, Union",Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Mills, W. A.",,,R,Washington,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Munkers, Thomas",,,D,Linn,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Olney, Cyrus",,,R,Clatsop,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"O'Regan, D.",,,R,Multnomah,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Ostrander, J.",,,D,Linn,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Paquet, Peter",,,R,Clackamas,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Porter, H.",,,D,Baker,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Quimby, L. P. W.",,,R,Multnomah,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Rader, J.",,,D,Jackson,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Savage, O. S.",,,D,Wasco,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Starkweather, W. A.",,,R,Clackamas,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Thompson, J.",,,D,Umatilla,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Waldron, A. L.",,,D,Josephine,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Wells, J.",,,D,Jackson,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Whalley, John W.",,,R,Multnomah,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Whiteaker, John",,,D,Lane,Male,,,,"Session : 1870 Session -  September 12-October 20, 1870 (47)"
"Alexander, J. C.",,3,R,Benton,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Alexander, W. F.",,23,D,Linn,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Applegate, James",,10,R,Douglas,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Beers, R.",,1,D,Baker,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Benson, D. R.",,2,Unknown,"Baker, Union",Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Brown, W. W.",,42,R,Yamhill,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Bryant, John",,21,D,Linn,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Burnett, G. W.",,43,R,Yamhill,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Butler, E. W.",,38,D,Wasco,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Chapman, W. W.",,31,D,Multnomah,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Cox, Isaac",,16,D,Josephine,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Crooks, John T",,20,D,Linn,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Davenport, T. W.",,27,R,Marion,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Davis, T. A.",,31,D,Multnomah,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Denny, John F",,25,R,Marion,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Flook, John G.",,8,R,Douglas,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Garrett, J. D.",,4,R,Clackamas,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Gazley, James F",,9,R,Douglas,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Gilfrey, H. H.",,18,D,Lane,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Grant, F. J.",,33,D,Polk,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Gray, Thomas E.",,12,R,Grant,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Hoxter, W. D.",,7,R,"Columbia, Clatsop, Tillamook",Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Jackson, Edward",,41,R,Washington,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Johnson, B. B.",,22,D,Linn,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Kirk, A. L.",,36,D,Umatilla,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Lichtenthaler, J. B.",,26,R,Marion,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Loudon, J. L.",,15,D,Jackson,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Minto, John, IV",,28,R,"Marion, Salem",Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Neal, R. W.",,11,Unknown,Grant,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Pendergast, Richard",,6,R,"Coos, Curry",Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Powell, James",,32,D,Multnomah,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Rhinehart, H.",,37,D,Union,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Ryan, George J.",,39,D,Wasco,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Simpson, David",,29,R,Marion,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Smith, Thomas",,14,D,Jackson,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Stiles, T. J.",,24,D,Linn,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Tandy, E. N.",,19,D,Lane,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Taylor, John A.",,40,R,Washington,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Townsend, Ira S",,35,D,Polk,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Trullinger, Daniel P.",,5,R,"Clackamas, Yamhill",Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Waymire, Frederick",,34,D,Polk,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"White, J. B.",,13,D,Jackson,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Whiteaker, John",Speaker,17,D,Lane,Male,,,,"Session : 1868 Session - September 14-October 28, 1868 (43)"
"Avery, T. W.",,40,D,Umatilla,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Baird, W. C.",,26,D,Linn,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Brentz, Thomas H",,13,Unknown,Grant,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Chenoweth, F. A.",Speaker,3,R,Benton,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Cochran, Robert B",,21,D,Lane,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Cole, James",,11,R,Douglas,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Cox, Isaac",,18,D,Josephine,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Davis, L. S.",,31,R,Marion,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Day, G. C.",,44,R,Washington,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Dempsey, J. J.",,37,D,Polk,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Dodge, F. T.",,43,Unknown,Wasco,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Foudray, E. D.",,15,D,Jackson,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Garlick, J. P.",,34,R,Multnomah,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Garrett, J. D.",,6,R,Clackamas,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Gehr, H. A.",,41,D,Umatilla,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Gingles, James",,4,R,Benton,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Hall, William",,38,D,Polk,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Helm, George R",,23,D,Linn,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Hendershott, James",,39,D,Union,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Herman, Binger",,10,D,Douglas,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Hindman, W. C.",,2,D,"Baker, Union",Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Hinman, A.",,45,R,Washington,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Humason, Orlando",,42,R,Wasco,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Lamson, J.",,47,R,Yamhill,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Laughlin, Robert R",,46,R,Yamhill,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Locey, J. D.",,5,R,Clackamas,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Lockhart, F. G.",,9,R,"Coos, Curry",Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Loring, A. C.",,1,D,Baker,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"McKean, M. M.",,14,Unknown,Grant,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Melvin, M. M.",,12,R,Douglas,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Moore, E. B.",,22,D,Linn,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Nicklin, J. I. O.",,27,R,Marion,Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
"Olney, Cyrus",,8,R,"Clatsop, Columbia, Tillamook",Male,,,,"Session : 1866 Session - September 10-October 20, 1866 (47)"
